job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,folder,emb_e_dim,emb_r_dim,train_type,num_negs_s,num_negs_o,label_smoothing,train_loss,margin,transe_l_norm,train_optimizer,train_batch_size,train_lr,train_lr_scheduler,train_lr_scheduler_patience,emb_regularize,emb_regularize_p,emb_e_regularize_weight,emb_r_regularize_weight,emb_regularize_weighted,transe_normalize_e,transe_normalize_r,emb_e_dropout,emb_r_dropout,conve_feature_map_dropout,conve_projection_dropout,emb_initialize,emb_initialize_normal_std,emb_initialize_uniform_interval,raw_mrr,raw_hits@1,raw_hits@3,raw_hits@10,fil_mrr,fil_hits@1,fil_hits@3,fil_hits@10,fwt_mrr,fwt_hits@1,fwt_hits@3,fwt_hits@10
212073d1,fb15k-237,complex,0,search,1vsAll,valid,25,,,,mean_reciprocal_rank_filtered_with_test,0.0297814144,/work/pi1/iclr2020/fb15k-237/complex-1vsAll-bce,128,128,1vsAll,,,0,bce,1,,Adam,256,0.2886456406,ReduceLROnPlateau,10,,,0.0015036897,0.000000002,1,,,0.4132087827,-0.1868100166,0.2,0.3,normal_,0.0247235048,-0.5342089622,0.0289421906,0.0132591957,0.0355289429,0.0504134595,0.0297168533,0.014342743,0.0357855707,0.0504704863,0.0297814144,0.0144568002,0.0357855707,0.0504704863
212073d1,fb15k-237,complex,1,search,1vsAll,valid,25,,,,mean_reciprocal_rank_filtered_with_test,0.0091991571,/work/pi1/iclr2020/fb15k-237/complex-1vsAll-bce,256,256,1vsAll,,,0,bce,1,,Adagrad,128,0.0072551922,ReduceLROnPlateau,1,,,2.26621042351221E-17,4.8889205308421E-17,0,,,-0.2218094766,0.3806202412,0.2,0.3,uniform_,6.92256460473749E-05,-0.3596883671,0.0089429226,0.0037924151,0.0087254066,0.01685201,0.0091946905,0.0040205303,0.0090675792,0.0171371549,0.0091991571,0.0040205303,0.0090675792,0.0171371549
212073d1,fb15k-237,complex,1,search,1vsAll,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.0252490624,/work/pi1/iclr2020/fb15k-237/complex-1vsAll-bce,256,256,1vsAll,,,0,bce,1,,Adagrad,256,0.000969849,ReduceLROnPlateau,3,,,2.527265639276E-10,1.24622283403068E-20,0,,,0.2314143777,-0.0979986489,0.2,0.3,xavier_uniform_,0.0010510133,-0.8056538317,0.0247062481,0.0119475331,0.0234673508,0.05121186,0.0251776337,0.0119475331,0.0234673508,0.0526946113,0.0252490624,0.0119475331,0.0234673508,0.052951239
212073d1,fb15k-237,complex,0,search,1vsAll,valid,35,,,,mean_reciprocal_rank_filtered_with_test,0.1544597746,/work/pi1/iclr2020/fb15k-237/complex-1vsAll-bce,128,128,1vsAll,,,0,bce,1,,Adam,1024,0.0385857209,ReduceLROnPlateau,5,lp,2,1.68579928679207E-15,0.000000034,1,,,-0.4150002375,0.3426038623,0.2,0.3,uniform_,0.2507726966,-0.1051525552,0.0905152446,0.0390932411,0.0888793841,0.1961505562,0.1407118798,0.0704875961,0.1546621025,0.287111491,0.1544597746,0.0825491846,0.1704305708,0.3036213219
212073d1,fb15k-237,complex,0,search,1vsAll,valid,380,,,,mean_reciprocal_rank_filtered_with_test,0.1600826945,/work/pi1/iclr2020/fb15k-237/complex-1vsAll-bce,256,256,1vsAll,,,0,bce,1,,Adagrad,128,0.1298259799,ReduceLROnPlateau,5,lp,3,1.02191560371052E-08,1.07893419060605E-13,0,,,-0.2707311362,-0.2531777322,0.2,0.3,normal_,0.1576311011,-0.8799091442,0.07993918,0.0348445959,0.0739663541,0.1697177142,0.1457263486,0.0731109232,0.1590248048,0.2991445661,0.1600826945,0.0877102911,0.1738237739,0.3115768433
212073d1,fb15k-237,complex,1,search,1vsAll,valid,365,,,,mean_reciprocal_rank_filtered_with_test,0.2958336953,/work/pi1/iclr2020/fb15k-237/complex-1vsAll-bce,256,256,1vsAll,,,0,bce,1,,Adam,512,0.0024573814,ReduceLROnPlateau,9,lp,3,1.08584236095707E-05,6.55217798803444E-06,1,,,-0.092702359,-0.4612573534,0.2,0.3,xavier_normal_,3.65437581053422E-05,-0.655262252,0.144293695,0.0871970356,0.1415454745,0.2697462142,0.2670246004,0.1836327314,0.2935842574,0.4364129007,0.2958336953,0.2150555998,0.3232392371,0.4575420618
0532ff9e,fb15k-237,complex,0,search,1vsAll,valid,50,,,,mean_reciprocal_rank_filtered_with_test,0.0010104366,/work/pi1/iclr2020/fb15k-237/complex-1vsAll-kl,256,256,1vsAll,,,0,kl,1,,Adam,512,0.0162898589,ReduceLROnPlateau,8,lp,1,0.0047146034,1.53022826425311E-06,0,,,0.4840378165,0.137560904,0.2,0.3,xavier_uniform_,0.0047179971,-0.6822958173,0.000996026,0.0003136584,0.0005132592,0.0010550328,0.0010095446,0.0003136584,0.0005417736,0.0010550328,0.0010104366,0.0003136584,0.0005417736,0.0010550328
0532ff9e,fb15k-237,complex,1,search,1vsAll,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.2895673775,/work/pi1/iclr2020/fb15k-237/complex-1vsAll-kl,128,128,1vsAll,,,0,kl,1,,Adagrad,256,0.1416270597,ReduceLROnPlateau,0,,,5.02700714064327E-18,4.68082900070443E-19,1,,,-0.1676241457,-0.4280645549,0.2,0.3,uniform_,1.90707956420453E-05,-0.478508919,0.1529592879,0.0942686051,0.1510122567,0.2800969481,0.2613327753,0.1787282526,0.284573704,0.4331052303,0.2895673775,0.2066723704,0.3157684505,0.4584545195
0532ff9e,fb15k-237,complex,0,search,1vsAll,valid,35,,,,mean_reciprocal_rank_filtered_with_test,0.2842312028,/work/pi1/iclr2020/fb15k-237/complex-1vsAll-kl,128,128,1vsAll,,,0,kl,1,,Adam,128,0.0022520624,ReduceLROnPlateau,6,,,7.59994535069276E-15,4.77424183660424E-10,0,,,-0.4691867456,-0.3567059189,0.2,0.3,uniform_,0.0684789987,-0.2363600206,0.1416089278,0.0863416046,0.1383518726,0.2616481185,0.2586060858,0.1797547787,0.2822070122,0.4204733372,0.2842312028,0.2068434507,0.3091531098,0.4411177635
0532ff9e,fb15k-237,complex,1,search,1vsAll,valid,80,,,,mean_reciprocal_rank_filtered_with_test,0.32421513,/work/pi1/iclr2020/fb15k-237/complex-1vsAll-kl,256,256,1vsAll,,,0,kl,1,,Adagrad,512,0.0195801376,ReduceLROnPlateau,4,lp,2,8.06062085833267E-11,7.19095463712306E-18,1,,,0.1605846286,0.085747242,0.2,0.3,normal_,0.00020233,-0.9075339594,0.166774626,0.1043056771,0.1666666716,0.3018819392,0.2880215852,0.2006558329,0.3152551949,0.4685771167,0.32421513,0.2389221489,0.3518961966,0.4992301166
